  
       XFOIL         Version 6.97
  
 Calculated polar for: S8036 (16%)                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.0067   0.00000  -0.00017  -0.0166   0.0000   0.0000
  -9.000  -0.8839   0.00000  -0.00016  -0.0187   0.0000   0.0000
  -8.000  -0.7609   0.00000  -0.00015  -0.0208   0.0000   0.0000
  -7.000  -0.6377   0.00000  -0.00015  -0.0230   0.0000   0.0000
  -6.000  -0.5143   0.00000  -0.00014  -0.0252   0.0000   0.0000
  -5.000  -0.3907   0.00000  -0.00013  -0.0275   0.0000   0.0000
  -4.000  -0.2670   0.00000  -0.00012  -0.0299   0.0000   0.0000
  -3.000  -0.1432   0.00000  -0.00012  -0.0322   0.0000   0.0000
  -2.000  -0.0194   0.00000  -0.00011  -0.0347   0.0000   0.0000
  -1.000   0.1044   0.00000  -0.00011  -0.0371   0.0000   0.0000
   0.000   0.2282   0.00000  -0.00010  -0.0396   0.0000   0.0000
   1.000   0.3520   0.00000  -0.00010  -0.0422   0.0000   0.0000
   2.000   0.4756   0.00000  -0.00009  -0.0447   0.0000   0.0000
   3.000   0.5991   0.00000  -0.00009  -0.0473   0.0000   0.0000
   4.000   0.7224   0.00000  -0.00009  -0.0499   0.0000   0.0000
   5.000   0.8454   0.00000  -0.00009  -0.0526   0.0000   0.0000
   6.000   0.9682   0.00000  -0.00009  -0.0552   0.0000   0.0000
   7.000   1.0908   0.00000  -0.00009  -0.0579   0.0000   0.0000
   8.000   1.2129   0.00000  -0.00010  -0.0606   0.0000   0.0000
   9.000   1.3348   0.00000  -0.00010  -0.0633   0.0000   0.0000
  10.000   1.4562   0.00000  -0.00010  -0.0660   0.0000   0.0000
  11.000   1.5771   0.00000  -0.00011  -0.0687   0.0000   0.0000
  12.000   1.6976   0.00000  -0.00012  -0.0714   0.0000   0.0000
  13.000   1.8176   0.00000  -0.00012  -0.0740   0.0000   0.0000
  14.000   1.9370   0.00000  -0.00013  -0.0767   0.0000   0.0000
  15.000   2.0558   0.00000  -0.00014  -0.0794   0.0000   0.0000
  16.000   2.1740   0.00000  -0.00015  -0.0820   0.0000   0.0000
  17.000   2.2916   0.00000  -0.00016  -0.0847   0.0000   0.0000
  18.000   2.4084   0.00000  -0.00017  -0.0873   0.0000   0.0000
  19.000   2.5245   0.00000  -0.00019  -0.0899   0.0000   0.0000
  20.000   2.6398   0.00000  -0.00020  -0.0924   0.0000   0.0000
